chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	1	9.685E-1	NOT_RUN
chr1	761585	762902	-	79854	LINC00115	11	8.83120424E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	11	8.83120424E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	11	8.34194309E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	2	5.04598721E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	860529	879961	+	148398	SAMD11	2	5.04598721E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	879582	894679	-	26155	NOC2L	2	5.04598721E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	895966	901099	+	339451	KLHL17	2	5.04598721E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	2	8.72532264E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	910578	917473	-	84808	C1orf170	3	5.42234733E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	934341	935552	-	57801	HES4	2	3.80700287E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	4	3.80938898E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	22	4.38357372E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	26	3.57480805E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	41	2.28021806E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	34	1.51936767E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	30	1.61889931E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	31	1.56394972E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	30	1.40913527E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	38	9.70008794E-2	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	28	1.25796009E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	28	1.82517133E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	26	1.66438907E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	23	1.60239862E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	19	1.22701075E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	17	9.73113334E-2	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	9	8.99198181E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	8	1.11154753E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	4	1.73966128E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	4	1.85799932E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	5	1.12072856E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	4	7.80577796E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	4	7.80577796E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	3	6.46949168E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	2	1.64755563E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	2	1.64755563E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	2	1.64755563E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1337275	1342693	-	55052	MRPL20	3	2.69957938E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1353799	1356824	-	441869	ANKRD65	3	2.69957938E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1361507	1363167	+	643965	TMEM88B	2	1.50325028E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1370902	1378262	+	64856	VWA1	2	6.17336794E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1385068	1405538	+	219293	ATAD3C	3	5.7846944E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1407163	1444689	+	83858	ATAD3B	13	8.52943802E-1	DAVIES_SUCCESS
chr1	1447522	1470067	+	55210	ATAD3A	20	4.79237597E-1	DAVIES_SUCCESS
chr1	1470157	1475740	-	339453	TMEM240	20	4.79237597E-1	DAVIES_SUCCESS
chr1	1477052	1510262	-	29101	SSU72	19	4.65241359E-1	DAVIES_SUCCESS
chr1	1533387	1535476	-	643988	C1orf233	11	3.20312382E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
