chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	761585	762902	-	79854	LINC00115	5	6.56361622E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	762970	794826	+	643837	LOC643837	5	6.56361622E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	803450	812182	-	284593	FAM41C	5	6.56361622E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	2	4.10629491E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	20	4.94920051E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	24	5.31557605E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	39	6.22193792E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	31	8.10353581E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	28	9.0370858E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	29	9.12148792E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	28	9.17328415E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	35	9.30200171E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	26	9.42539196E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	27	9.51420312E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	25	9.72847601E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	24	9.76696165E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	19	9.56039167E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	17	9.33035554E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	9	8.93353522E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	8	9.3590229E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	4	9.10049931E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	4	8.81774192E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	5	9.12867119E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	4	8.36853006E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	4	8.36853006E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	3	8.95759265E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	2	8.43557551E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	2	8.43557551E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1334909	1337426	+	148413	LOC148413	2	8.43557551E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
