gene_id	symbol	SNPs
100287102	DDX11L1	0
653635	WASH7P	0
79501	OR4F5	0
729737	LOC729737	0
729759	OR4F29	0
100288069	LOC100288069	0
100130417	LOC100130417	0
148398	SAMD11	0
26155	NOC2L	0
339451	KLHL17	0
84069	PLEKHN1	0
84808	C1orf170	0
57801	HES4	0
8510	MMP23B	0
984	CDK11B	0
8511	MMP23A	0
728642	CDK11A	0
2563	GABRD	0
400735	PRAMEF4	0
343071	PRAMEF10	0
391002	PRAMEF8	0
343068	PRAMEF5	0
653606	PRAMEF22	0
440563	LOC440563	0
401940	PRAMEF3	0
343070	PRAMEF9	0
400736	PRAMEF13	0
645414	PRAMEF19	0
654348	PRAMEF16	0
391004	PRAMEF17	0
84809	CROCCP2	0
11209	MST1P2	0
284729	ESPNP	0
11223	MST1L	0
55629	PNRC2	0
10772	SRSF10	0
1600	DAB1	1814
653820	FAM72B	0
337875	HIST2H2BA	0
2210	FCGR1B	0
100874392	ANKRD20A12P	0
100286793	LINC00875	0
100130000	LOC100130000	0
644591	PPIAL4G	0
728833	FAM72D	0
728875	LOC728875	0
767846	PFN1P2	0
9659	PDE4DIP	0
9554	SEC22B	0
100288805	HYDIN2	0
25832	NBPF14	0
645142	PPIAL4D	0
284565	NBPF15	0
730262	PPIAL4E	0
728936	NBPF16	0
728945	PPIAL4F	0
645166	LOC645166	0
388692	LOC388692	0
100132417	FCGR1C	0
57234	LINC00869	0
2209	FCGR1A	0
729533	FAM72A	0
553	AVPR1B	0
440712	C1orf186	0
1510	CTSE	0
2104	ESRRG	1134
84976	DISP1	0
7100	TLR5	0
401993	OR2T5	0
391211	OR2G6	0
343563	OR2T29	0
127068	OR2T34	0
127069	OR2T10	0
55691	FRMD4A	1265
119016	AGAP4	0
414241	FAM35BP	0
83849	SYT15	0
9721	GPRIN2	0
5540	NPY4R	0
643650	LINC00842	0
728643	HNRNPA1P33	0
439965	FAM35DP	0
1517	CTSL1P2	0
399753	LOC399753	0
728404	AGAP8	0
728407	LOC728407	0
5592	PRKG1	1418
65217	PCDH15	2051
29119	CTNNA3	2097
729238	SFTPA2	0
10718	NRG3	1279
653548	DUX4L3	0
100133161	LOC100133161	0
3048	HBG2	1047
89797	NAV2	1095
4745	NELL1	1218
57689	LRRC4C	1373
26011	TENM4	1003
1740	DLG2	1900
642612	TRIM49C	0
53942	CNTN5	1887
50863	NTM	1282
4978	OPCML	1339
100288778	LOC100288778	0
6660	SOX5	1224
56899	ANKS1B	1036
121256	TMEM132D	1147
100130238	LOC100130238	0
2262	GPC5	1322
10082	GPC6	1198
440153	OR11H12	0
642426	LOC642426	0
404785	POTEG	0
101101776	LOC101101776	0
641455	POTEM	0
79334	OR11H2	0
441669	OR4Q3	0
441670	OR4M1	0
390429	OR4N2	0
390431	OR4K2	0
64067	NPAS3	1225
9628	RGS6	1093
9369	NRXN3	1606
2003	ELK2AP	0
9834	KIAA0125	0
8755	ADAM6	0
338004	LINC00226	0
646096	CHEK2P2	0
283755	HERC2P3	0
727832	GOLGA6L6	0
729786	GOLGA8CP	0
606	NBEAP1	0
348120	CT60	0
646214	LOC646214	0
646243	CXADRP2	0
727924	LOC727924	0
390538	OR4M2	0
283694	OR4N4	0
390539	OR4N3P	0
646396	REREP3	0
400322	HERC2P2	0
100132101	HERC2P7	0
390535	GOLGA8EP	0
440243	LOC440243	0
283768	GOLGA8G	0
440248	HERC2P9	0
653075	GOLGA8T	0
26082	DKFZP434L187	0
89832	CHRFAM7A	0
728047	GOLGA8O	0
100288615	WHAMMP1	0
100996255	LOC100996255	0
647042	GOLGA6L10	0
100133144	UBE2Q2P3	0
440295	GOLGA6L9	0
440297	CSPG4P8	0
123624	AGBL1	1081
26682	OR4F4	0
100124412	FAM138E	0
374666	WASH3P	0
100288486	DDX11L9	0
527	ATP6V0C	0
51005	AMDHD2	0
752014	CEMP1	0
100422974	MIR3178	0
54715	RBFOX1	3257
730013	ABCC6P2	0
23420	NOMO1	0
339044	PKD1P1	0
283820	NOMO2	0
653190	ABCC6P1	0
23117	NPIPL3	0
100190986	LOC100190986	0
730092	RRN3P1	0
100132247	LOC100132247	0
653786	LOC653786	0
6818	SULT1A3	0
613037	LOC613037	0
729264	TP53TG3D	0
390705	LOC390705	0
729355	TP53TG3B	0
386757	SLC6A10P	0
649159	LINC00273	0
51741	WWOX	2015
1012	CDH13	2437
654346	LGALS9C	0
400581	GRAPL	0
40	ASIC2	1576
388372	CCL4L2	0
85293	KRTAP3-3	0
83897	KRTAP3-2	0
83896	KRTAP3-1	0
644172	LOC644172	0
147081	CRHR1-IT1	0
100130148	MAPT-IT1	0
246744	STH	0
51326	ARL17A	0
9884	LRRC37A	0
728806	NSFP1	0
474170	LRRC37A2	0
374819	LRRC37A3	0
388574	FLJ43681	0
9229	DLGAP1	1020
1630	DCC	1260
375690	WASH5P	0
81099	OR4F17	0
399844	FLJ45445	0
238	ALK	1064
9378	NRXN1	1449
1496	CTNNA2	1925
112597	LINC00152	0
654342	LOC654342	0
151009	LOC151009	0
