chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	948846	1167447	+	meta_9636_51150	meta_ISG15_SDF4	25	3.43608466E-1	DAVIES_SUCCESS
chr1	948846	1269844	+	meta_9636_254173_83756	meta_ISG15_TTLL10_TAS1R3	37	6.82804847E-1	DAVIES_SUCCESS
chr1	948846	2139172	+	meta_9636_83756_81669_199990	meta_ISG15_TAS1R3_CCNL2_C1orf86	67	1.74840289E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_81669_199990_127281	meta_ISG15_TTLL10_TAS1R3_CCNL2_C1orf86_FAM213B	142	4.01340075E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_9906_199990_127281	meta_ISG15_TTLL10_TAS1R3_SLC35E2_C1orf86_FAM213B	147	3.30965306E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_83756_81669_2782_127281	meta_ISG15_TAS1R3_CCNL2_GNB1_FAM213B	81	2.45954056E-1	DAVIES_SUCCESS
chr1	1109285	1269844	+	meta_254173_83756	meta_TTLL10_TAS1R3	35	6.56494764E-1	DAVIES_SUCCESS
chr1	1138887	1444689	+	meta_8784_126789_81669_83858	meta_TNFRSF18_PUSL1_CCNL2_ATAD3B	44	1.31050185E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_118424_219293	meta_TNFRSF4_UBE2J2_ATAD3C	31	3.84674899E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_219293	meta_TNFRSF4_ATAD3C	28	3.62486967E-1	DAVIES_SUCCESS
chr1	1146705	2139172	+	meta_7293_219293_199990	meta_TNFRSF4_ATAD3C_C1orf86	90	1.74063379E-1	DAVIES_SUCCESS
chr1	1167628	1510262	+	meta_126792_29101	meta_B3GALT6_SSU72	45	3.79761041E-2	DAVIES_SUCCESS
chr1	1177825	1444689	+	meta_388581_118424_83858	meta_FAM132A_UBE2J2_ATAD3B	36	1.04524701E-1	DAVIES_SUCCESS
chr1	1243993	1334718	+	meta_126789_81669	meta_PUSL1_CCNL2	5	6.66079639E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1444689	+	meta_126789_81669_83858	meta_PUSL1_CCNL2_ATAD3B	20	7.56574228E-2	DAVIES_SUCCESS
chr1	1385068	1677438	+	meta_219293_728661	meta_ATAD3C_SLC35E2B	8	5.07981351E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1385068	1711508	+	meta_219293_65220	meta_ATAD3C_NADK	14	5.68259283E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1385068	1822526	+	meta_219293_2782	meta_ATAD3C_GNB1	36	6.60560531E-2	DAVIES_SUCCESS
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	33	6.75575151E-2	DAVIES_SUCCESS
chr1	2487804	2522908	+	meta_8764_127281	meta_TNFRSF14_FAM213B	55	6.77479533E-1	DAVIES_SUCCESS
chr1	2938045	3397677	+	meta_140625_27237	meta_ACTRT2_ARHGEF16	129	9.8610597E-1	DAVIES_SUCCESS
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	100	7.25093437E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	161	8.62723784E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	161	8.62723784E-1	DAVIES_SUCCESS
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	132	9.05313569E-1	DAVIES_SUCCESS
chr1	6052357	6321035	+	meta_8514_387509	meta_KCNAB2_GPR153	148	8.89551648E-1	DAVIES_SUCCESS
chr1	6324331	6761966	+	meta_11332_55735	meta_ACOT7_DNAJC11	143	7.51523251E-1	DAVIES_SUCCESS
chr1	6472497	6639817	+	meta_54626_80835	meta_HES2_TAS1R1	87	4.00988141E-1	DAVIES_SUCCESS
chr1	6526151	6761966	+	meta_57449_55735	meta_PLEKHG5_DNAJC11	143	5.05720935E-1	DAVIES_SUCCESS
chr1	7903142	8045342	+	meta_10911_11315	meta_UTS2_PARK7	109	1.31163155E-1	DAVIES_SUCCESS
chr1	7903142	8404227	+	meta_10911_11315_50651	meta_UTS2_PARK7_SLC45A1	177	3.70454102E-1	DAVIES_SUCCESS
chr1	7903142	9148510	+	meta_10911_50651_6518	meta_UTS2_SLC45A1_SLC2A5	259	3.84466049E-1	DAVIES_SUCCESS
chr1	8021713	8404227	+	meta_11315_50651	meta_PARK7_SLC45A1	103	1.61102601E-1	DAVIES_SUCCESS
