chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	948846	1167447	+	meta_9636_51150	meta_ISG15_SDF4	27	5.05582877E-1	DAVIES_SUCCESS
chr1	948846	1269844	+	meta_9636_254173_83756	meta_ISG15_TTLL10_TAS1R3	39	2.17232722E-1	DAVIES_SUCCESS
chr1	948846	2139172	+	meta_9636_83756_81669_199990	meta_ISG15_TAS1R3_CCNL2_C1orf86	66	4.77639603E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_81669_199990_127281	meta_ISG15_TTLL10_TAS1R3_CCNL2_C1orf86_FAM213B	144	4.24540572E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_254173_83756_9906_199990_127281	meta_ISG15_TTLL10_TAS1R3_SLC35E2_C1orf86_FAM213B	150	4.4595671E-1	DAVIES_SUCCESS
chr1	948846	2522908	+	meta_9636_83756_81669_2782_127281	meta_ISG15_TAS1R3_CCNL2_GNB1_FAM213B	92	7.67878552E-1	DAVIES_SUCCESS
chr1	1109285	1269844	+	meta_254173_83756	meta_TTLL10_TAS1R3	37	1.98028371E-1	DAVIES_SUCCESS
chr1	1138887	1444689	+	meta_8784_126789_81669_83858	meta_TNFRSF18_PUSL1_CCNL2_ATAD3B	49	4.2371028E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_118424_219293	meta_TNFRSF4_UBE2J2_ATAD3C	33	5.90835458E-1	DAVIES_SUCCESS
chr1	1146705	1405538	+	meta_7293_219293	meta_TNFRSF4_ATAD3C	31	5.50358089E-1	DAVIES_SUCCESS
chr1	1146705	2139172	+	meta_7293_219293_199990	meta_TNFRSF4_ATAD3C_C1orf86	93	5.2758939E-1	DAVIES_SUCCESS
chr1	1167628	1510262	+	meta_126792_29101	meta_B3GALT6_SSU72	49	2.98189818E-1	DAVIES_SUCCESS
chr1	1177825	1444689	+	meta_388581_118424_83858	meta_FAM132A_UBE2J2_ATAD3B	38	2.82697912E-1	DAVIES_SUCCESS
chr1	1243993	1334718	+	meta_126789_81669	meta_PUSL1_CCNL2	4	7.6472386E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1243993	1444689	+	meta_126789_81669_83858	meta_PUSL1_CCNL2_ATAD3B	22	2.80374358E-1	DAVIES_SUCCESS
chr1	1385068	1677438	+	meta_219293_728661	meta_ATAD3C_SLC35E2B	10	6.1110741E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1385068	1711508	+	meta_219293_65220	meta_ATAD3C_NADK	18	8.08213287E-1	DAVIES_SUCCESS
chr1	1385068	1822526	+	meta_219293_2782	meta_ATAD3C_GNB1	49	9.02248706E-1	DAVIES_SUCCESS
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	45	9.01881074E-1	DAVIES_SUCCESS
chr1	2487804	2522908	+	meta_8764_127281	meta_TNFRSF14_FAM213B	55	3.93752093E-1	DAVIES_SUCCESS
chr1	2938045	3397677	+	meta_140625_27237	meta_ACTRT2_ARHGEF16	126	5.63940048E-2	DAVIES_SUCCESS
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	102	5.92826019E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	163	3.9188883E-1	DAVIES_SUCCESS
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	163	3.9188883E-1	DAVIES_SUCCESS
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	133	4.05450844E-1	DAVIES_SUCCESS
chr1	6052357	6321035	+	meta_8514_387509	meta_KCNAB2_GPR153	155	6.18379343E-1	DAVIES_SUCCESS
chr1	6324331	6761966	+	meta_11332_55735	meta_ACOT7_DNAJC11	146	3.92566746E-1	DAVIES_SUCCESS
chr1	6472497	6639817	+	meta_54626_80835	meta_HES2_TAS1R1	90	8.67848E-1	DAVIES_SUCCESS
chr1	6526151	6761966	+	meta_57449_55735	meta_PLEKHG5_DNAJC11	147	3.89951431E-1	DAVIES_SUCCESS
chr1	7903142	8045342	+	meta_10911_11315	meta_UTS2_PARK7	109	4.49440775E-1	DAVIES_SUCCESS
