chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	5	4.7120071E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	15	4.60413409E-1	DAVIES_SUCCESS
chr1	762970	794826	+	643837	LOC643837	15	4.60413409E-1	DAVIES_SUCCESS
chr1	803450	812182	-	284593	FAM41C	14	5.19512574E-1	DAVIES_SUCCESS
chr1	852952	854817	-	100130417	LOC100130417	3	9.02360027E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	860529	879961	+	148398	SAMD11	5	8.24065479E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	879582	894679	-	26155	NOC2L	5	8.24065479E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	895966	901099	+	339451	KLHL17	6	8.45733721E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	901876	910484	+	84069	PLEKHN1	6	5.29590435E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	910578	917473	-	84808	C1orf170	7	3.87823491E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	934341	935552	-	57801	HES4	6	3.17589078E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	9	1.66662814E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	27	1.48940033E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	29	1.78968711E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	46	2.57828707E-1	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	39	5.70151542E-1	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	34	7.48128665E-1	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	35	7.71009308E-1	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	34	7.59137207E-1	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	42	8.16019067E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	30	9.85309411E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	30	9.70798573E-1	DAVIES_SUCCESS
chr1	1152287	1167447	-	51150	SDF4	28	9.49913686E-1	DAVIES_SUCCESS
chr1	1167628	1170420	+	126792	B3GALT6	26	9.30491202E-1	DAVIES_SUCCESS
chr1	1177825	1182102	-	388581	FAM132A	21	8.99267413E-1	DAVIES_SUCCESS
chr1	1189291	1209234	-	118424	UBE2J2	21	7.82358449E-1	DAVIES_SUCCESS
chr1	1215815	1227409	+	6339	SCNN1D	13	6.36837589E-1	DAVIES_SUCCESS
chr1	1227763	1244989	-	116983	ACAP3	13	5.62345203E-1	DAVIES_SUCCESS
chr1	1243993	1247057	+	126789	PUSL1	9	3.63177697E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1246964	1260067	-	54973	CPSF3L	11	4.74427218E-1	DAVIES_SUCCESS
chr1	1260142	1264276	+	80772	GLTPD1	13	3.65142567E-1	DAVIES_SUCCESS
chr1	1266725	1269844	+	83756	TAS1R3	12	3.35971926E-1	DAVIES_SUCCESS
chr1	1270657	1284492	-	1855	DVL1	12	3.23580485E-1	DAVIES_SUCCESS
chr1	1288070	1297157	-	54587	MXRA8	11	3.30274833E-1	DAVIES_SUCCESS
chr1	1309109	1310818	-	54998	AURKAIP1	9	2.95989066E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1321090	1334718	-	81669	CCNL2	10	3.89271231E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
