chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1109285	2522908	+	meta_254173_199990_127281	meta_TTLL10_C1orf86_FAM213B	7	2.16463319E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1109285	2522908	+	meta_254173_9906_199990_127281	meta_TTLL10_SLC35E2_C1orf86_FAM213B	11	6.15438178E-4	DAVIES_SUCCESS
chr1	1146705	1209234	+	meta_7293_118424	meta_TNFRSF4_UBE2J2	1	1.627E-1	NOT_RUN
chr1	1146705	2139172	+	meta_7293_199990	meta_TNFRSF4_C1orf86	6	4.50484499E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1177825	1209234	+	meta_388581_118424	meta_FAM132A_UBE2J2	1	1.627E-1	NOT_RUN
chr1	1682670	1822526	+	meta_65220_2782	meta_NADK_GNB1	6	3.20053522E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	2522908	+	meta_2782_127281	meta_GNB1_FAM213B	7	2.05246318E-4	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2487804	2522908	+	meta_8764_127281	meta_TNFRSF14_FAM213B	1	3.599E-2	NOT_RUN
chr1	3569128	3688209	+	meta_7161_148870	meta_TP73_CCDC27	1	3.475E-1	NOT_RUN
chr1	3569128	3713068	+	meta_7161_148870_57470	meta_TP73_CCDC27_LRRC47	1	3.475E-1	NOT_RUN
chr1	3569128	3713068	+	meta_7161_57470	meta_TP73_LRRC47	1	3.475E-1	NOT_RUN
chr1	3668964	3713068	+	meta_148870_57470	meta_CCDC27_LRRC47	1	3.475E-1	NOT_RUN
chr1	6052357	6321035	+	meta_8514_387509	meta_KCNAB2_GPR153	31	1.34963425E-1	DAVIES_SUCCESS
chr1	6324331	6761966	+	meta_11332_55735	meta_ACOT7_DNAJC11	30	1.4640248E-1	DAVIES_SUCCESS
chr1	6526151	6761966	+	meta_57449_55735	meta_PLEKHG5_DNAJC11	7	9.03881838E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	8045342	+	meta_10911_11315	meta_UTS2_PARK7	3	4.8222913E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	8404227	+	meta_10911_11315_50651	meta_UTS2_PARK7_SLC45A1	5	3.64897159E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	9148510	+	meta_10911_50651_6518	meta_UTS2_SLC45A1_SLC2A5	7	3.40388434E-1	DAVIES_SUCCESS
chr1	8021713	8404227	+	meta_11315_50651	meta_PARK7_SLC45A1	3	2.19378153E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8384389	9148510	+	meta_50651_6518	meta_SLC45A1_SLC2A5	4	2.40968664E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
