chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1102483	1102578	+	406984	MIR200B	1	1.355E-2	NOT_RUN
chr1	1103242	1103332	+	406983	MIR200A	1	1.355E-2	NOT_RUN
chr1	1104384	1104467	+	554210	MIR429	1	1.355E-2	NOT_RUN
chr1	1109285	1133313	+	254173	TTLL10	1	1.355E-2	NOT_RUN
chr1	1138887	1142089	-	8784	TNFRSF18	1	1.355E-2	NOT_RUN
chr1	1146705	1149548	-	7293	TNFRSF4	1	1.355E-2	NOT_RUN
chr1	1152287	1167447	-	51150	SDF4	1	1.355E-2	NOT_RUN
chr1	1167628	1170420	+	126792	B3GALT6	1	1.355E-2	NOT_RUN
chr1	1177825	1182102	-	388581	FAM132A	1	1.355E-2	NOT_RUN
chr1	1189291	1209234	-	118424	UBE2J2	1	1.355E-2	NOT_RUN
chr1	1590987	1677438	-	728661	SLC35E2B	4	6.05347446E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1656276	1677438	-	9906	SLC35E2	4	6.05347446E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1682670	1711508	-	65220	NADK	4	6.05347446E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1716724	1822526	-	2782	GNB1	6	5.85015693E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1846265	1848733	+	163688	CALML6	3	3.32952204E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1849028	1850740	-	339456	TMEM52	3	3.32952204E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	1884751	1935276	-	85452	KIAA1751	1	1.65E-1	NOT_RUN
chr1	1981908	2116834	+	5590	PRKCZ	4	8.73539665E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2115898	2139172	-	199990	C1orf86	5	7.23987988E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2160133	2241652	+	6497	SKI	7	1.05530172E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2252695	2322993	-	79906	MORN1	3	1.68409112E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2281852	2284100	-	100129534	LOC100129534	2	6.10108356E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2323213	2336885	+	11079	RER1	1	1.742E-2	NOT_RUN
chr1	2336240	2344010	-	5192	PEX10	1	6.659E-2	NOT_RUN
chr1	2407753	2436969	+	9651	PLCH2	3	3.0582688E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2439974	2458035	-	55229	PANK4	3	3.0582688E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2460183	2461684	-	388585	HES5	1	7.557E-1	NOT_RUN
chr1	2487804	2495267	+	8764	TNFRSF14	1	7.17E-1	NOT_RUN
chr1	2517898	2522908	+	127281	FAM213B	1	7.17E-1	NOT_RUN
chr1	2522080	2564481	-	79258	MMEL1	1	7.17E-1	NOT_RUN
chr1	2572806	2706230	-	100287898	TTC34	4	7.17608721E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2938045	2939467	+	140625	ACTRT2	2	1.31339584E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	1	1.5E-1	NOT_RUN
