chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	700244	714068	-	100288069	LOC100288069	3	1.14751863E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	761585	762902	-	79854	LINC00115	11	2.50167489E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	762970	794826	+	643837	LOC643837	11	2.50167489E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	803450	812182	-	284593	FAM41C	9	2.49120418E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	895966	901099	+	339451	KLHL17	1	5.745E-1	NOT_RUN
chr1	901876	910484	+	84069	PLEKHN1	2	1.97268806E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	910578	917473	-	84808	C1orf170	3	2.19214448E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	934341	935552	-	57801	HES4	3	2.19214448E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	948846	949919	+	9636	ISG15	5	3.22824366E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	955502	991499	+	375790	AGRN	22	2.4376368E-1	DAVIES_SUCCESS
chr1	1007125	1009687	-	401934	RNF223	25	1.86146682E-1	DAVIES_SUCCESS
chr1	1017197	1051736	-	54991	C1orf159	40	8.27847014E-2	DAVIES_SUCCESS
chr1	1072396	1079434	+	254099	LOC254099	33	5.84004332E-2	DAVIES_SUCCESS
chr1	1102483	1102578	+	406984	MIR200B	31	4.7690387E-2	DAVIES_SUCCESS
chr1	1103242	1103332	+	406983	MIR200A	32	5.3227406E-2	DAVIES_SUCCESS
chr1	1104384	1104467	+	554210	MIR429	31	5.82142776E-2	DAVIES_SUCCESS
chr1	1109285	1133313	+	254173	TTLL10	39	1.19207068E-1	DAVIES_SUCCESS
chr1	1138887	1142089	-	8784	TNFRSF18	29	3.58070946E-1	DAVIES_SUCCESS
chr1	1146705	1149548	-	7293	TNFRSF4	29	3.75856407E-1	DAVIES_SUCCESS
